ZONE,REGION,DISTRICT,SCHOOL NAME,LATITUDE,LONGITUDE,BOYS,GIRLS,MALE TEACHERS,FEMALE TEACHERS,CLASS
North-West,Awdal,Baki,Ruqy,10,43.43222,49,6,4,0,4
North-West,Awdal,Baki,Sh.Mahamud Ahmed,10.26689,43.48869,87,18,4,0,4
North-West,Awdal,Borama,Shadan Sugal,10,43,71,9,3,0,4
North-West,Awdal,Borama,Mahadka Sh Ali,10,43,186,107,7,0,8
North-West,Awdal,Borama,Halimaleh,10,43,44,20,2,0,2
North-West,Awdal,Borama,Sh Xusien Abraar,9,43,51,40,5,0,3
North-West,Awdal,Borama,Alaale,9.92893,43.18335,45,30,1,1,2
North-West,Awdal,Borama,Al Nuur,10,43.2293,173,95,6,0,8
North-West,Awdal,Borama,Omar Binu Khatab,9.92893,43.18335,144,51,4,0,7
North-West,Awdal,Borama,Kalmo,10,43.18335,71,42,1,1,3
North-West,Awdal,Borama,ILays,9.92893,43.18335,92,43,4,2,3
North-West,Awdal,Borama,Sa'cadin,10,43.18335,31,19,4,0,2
North-West,Awdal,Borama,Borama School for the deaf,10,43.18335,152,75,15,2,12
North-West,Awdal,Borama,Tuli lower,10,43.31222,63,4,3,0,3
North-West,Awdal,Borama,Goraya Awl,10,43.22778,56,21,3,0,3
North-West,Awdal,Borama,Qunujeed,10.09167,43.00917,127,37,6,0,7
North-West,Awdal,Borama,Sh.Ali Jawhar,9.92893,43.2293,209,88,4,1,5
North-West,Awdal,Borama,X.Tako lower,10,43.18335,350,184,7,3,8
North-West,Awdal,Borama,Sh.Ahmed,10,43.2275,326,197,7,2,8
North-West,Awdal,Borama,Sheed Dheer,10,43.18335,155,57,4,1,4
North-West,Awdal,Borama,Al -Aqsa,9.92893,43.18335,572,270,20,0,16
North-West,Awdal,Borama,Ubaya Binu Kacba,9.92893,43.2275,744,471,28,0,23
North-West,Awdal,Borama,Sh.Osman,10,43.18335,183,52,7,0,5
North-West,Awdal,Borama,Aloog,10,43.18335,870,496,21,4,21
North-West,Awdal,Borama,X.Tako upper,10,43.18335,465,160,14,1,9
North-West,Awdal,Borama,Sh.Abdirahman,10,43.18335,1018,477,22,2,20
North-West,Awdal,Borama,Child/Adult Education,10,43.2275,82,29,2,1,5
North-West,Awdal,Borama,Maraley,10.03278,43.04,53,8,3,0,2
North-West,Awdal,Borama,Abu-Qays,10,43.18335,130,16,7,0,5
North-West,Awdal,Borama,Sh.Mooge/Qalooc,10,43.29028,126,29,5,0,6
North-West,Awdal,Borama,Idan,10,43.29028,71,8,4,0,4
North-West,Awdal,Borama,Boon,10.19391,43.08799,21,16,2,0,2
North-West,Awdal,Borama,Sh.Yususf Lower,10,43.18335,56,12,3,0,2
North-West,Awdal,Dila,Jeed-Diqsi,10.55247,44.11734,37,0,2,0,3
North-West,Awdal,Dila,Jara-Horatu,10,43.3225,60,8,5,0,4
North-West,Awdal,Dila,Dilla,9.81639,43.31222,189,36,7,0,7
North-West,Awdal,Lughaye,Garbo Dadar,10.23733,43.63499,105,24,5,0,5
North-West,Awdal,Lughaye,Gar Gaara,10.31193,43.80758,29,6,2,0,3
North-West,Awdal,Lughaye,Geerisa,10.6099,43.42935,44,13,4,0,2
North-West,Awdal,Lughaye,Fard laguxidh,10.40917,43.44972,31,9,2,0,3
North-West,Awdal,Lughaye,Lughaya,10.68326,43.94053,64,28,4,0,4
North-West,Awdal,Zeilac,A/kadir,10.51028,42.89198,56,26,3,0,5
North-West,Awdal,Zeilac,Lawyado,11.45917,43.25945,83,21,2,0,3
North-West,Awdal,Zeilac,Tokhoshi,11,43,36,5,2,0,2
North-West,Awdal,Zeilac,Fiqi Adan,10.37194,43.19222,41,9,3,0,3
North-West,Awdal,Zeilac,Zeila,11.35455,43.47282,38,17,2,0,5
North-West,Awdal,Zeilac,Hariirad,10.32472,42.83667,50,15,6,0,3
North-West,Hargeisa,Adadley,Adadley,9.76639,44.69325,92,24,4,0,5
North-West,Hargeisa,Allaybadey,Alley Badey,9.38528,43.52306,128,15,6,0,8
North-West,Hargeisa,B/Gubadle,Sayle,9.17361,44.17028,22,1,2,0,4
North-West,Hargeisa,B/Gubadle,H/Dh/B/Gubadle,9,43.99778,148,43,6,1,8
North-West,Hargeisa,B/Gubadle,Dirfacle,9.40917,44.03353,142,44,2,0,8
North-West,Hargeisa,Darasalaam,Maluug,9.75199,44.29095,31,23,2,0,3
North-West,Hargeisa,Darasalaam,B/Khadar,9.66194,44.02874,49,16,2,0,3
